"Facility_ID","Facility_Name","Facility_Type","Nearest_Highway","Distance_Meters","Distance_km","Buffer_Zone","Direct_Corridor_Access"
"PAT-FAC-0035","Srijan Centre For Assisted Human Reproduction","Hospital / Healthcare","Kumhrar Road","792.7","0.793","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0036","Ramwati Nursing Home","Hospital / Healthcare","Bailey Road Flyover","144.2","0.144","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0037","Renu Eye Center","Hospital / Healthcare","Atal Path Flyover","306","0.306","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0038","Patna Bone And Spine Hospital Pvt Ltd","Hospital / Healthcare","Kumhrar Road","69.7","0.07","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0039","Ruban Emergency Hospital","Hospital / Healthcare","Major City Arterial","56.1","0.056","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0040","Pramila Nursing Home, Patna","Hospital / Healthcare","Flyover","110.9","0.111","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0041","R N Superspecility Hospital And Research Centre","Hospital / Healthcare","Bailey Road Flyover","171.9","0.172","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0042","Rajendra Memorial Research Institute of Medical Sciences","Hospital / Healthcare","Flyover","160.3","0.16","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0043","Rajeshwar Hospital, Patna","Hospital / Healthcare","Kumhrar Road","22","0.022","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0044","E N T Hospital and Research Centre","Hospital / Healthcare","Kumhrar Road","224.2","0.224","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0045","Ishwar Dayal Memorial Hospital","Hospital / Healthcare","NH Corridor (NH22)","35.7","0.036","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0046","Jagdamba Nursing Home, Patna","Hospital / Healthcare","Patna Bypass / Expressway Corridor","40.2","0.04","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0047","Avadh Eye Hospital- Dr Arjun Kumar Singh","Hospital / Healthcare","NH Corridor (NH139)","114.9","0.115","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0048","Patliputra Divine Hospital Pvt Ltd","Hospital / Healthcare","Kumhrar Road","329.9","0.33","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0049","Netradham Eye Hospital","Hospital / Healthcare","Atal Path","170.2","0.17","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0050","Popular Nursing Home, Patna","Hospital / Healthcare","Ashok Raj Path","47.2","0.047","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0051","Prakash Hospital, Patna","Hospital / Healthcare","Chiriya Taar overbridge","288.8","0.289","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0052","Mahavir Vaatsalya Aspatal","Hospital / Healthcare","Ashok Rajpath","103.4","0.103","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0053","Ford Hospital","Hospital / Healthcare","NH Corridor (NH22)","58.4","0.058","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0054","Hope Child Care and Research Centre","Hospital / Healthcare","Kumhrar Road","581.4","0.581","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0055","Heart Hospital, Patna","Hospital / Healthcare","Kumhrar Road","273.5","0.273","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0056","I Care Eye Hospital and Research Centre","Hospital / Healthcare","Kumhrar Road","288.2","0.288","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0057","Chand Memorial Hospital","Hospital / Healthcare","Atal Path Flyover","250.8","0.251","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0058","Sahyog Hospital, Patna","Hospital / Healthcare","Atal Path Flyover","581.8","0.582","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0059","Narain Nursing Home","Hospital / Healthcare","Ashok Rajpath","747.1","0.747","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0060","Jagdish Memorial Hospital","Hospital / Healthcare","kankarbagh main road","425.3","0.425","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0061","K. B. Surgical Clinic","Hospital / Healthcare","Atal Path","65.4","0.065","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0062","Life Care Maternity Home","Hospital / Healthcare","NH Corridor (NH139)","287.1","0.287","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0063","Manav Orthopaedic Clinic And Maternity Home","Hospital / Healthcare","Kumhrar Road","874.6","0.875","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0064","Manas Nursing Home, Patna","Hospital / Healthcare","kankarbagh main road","462.4","0.462","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0065","Om Nursing Home, Patna","Hospital / Healthcare","NH Corridor (NH22)","655.7","0.656","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0066","Maulana Sajjad Memorial Hospital","Hospital / Healthcare","NH Corridor (NH139)","22.7","0.023","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0067","New Born Care Centre (P) Ltd","Hospital / Healthcare","Kumhrar Road","663.9","0.664","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0068","Manokamna Health Care","Hospital / Healthcare","Ashok Raj Path","47.4","0.047","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0069","Om Eye Clinic and Phaco Centre - Patna","Hospital / Healthcare","Chiriya Taar overbridge","946.6","0.947","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0070","Nav Sharda Aspatal Pvt Ltd","Hospital / Healthcare","Patna Bypass / Expressway Corridor","998.5","0.998","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0071","Shubham Maternity Centre","Hospital / Healthcare","NH Corridor (NH22)","666","0.666","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0072","Max Care Hospital And Research Institute Pvt. Ltd.","Hospital / Healthcare","Bailey Road Flyover","560.6","0.561","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0073","Ashutosh Memorial Hospital","Hospital / Healthcare","Neora Road","504.3","0.504","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0074","Apollo Trauma Centre","Hospital / Healthcare","kankarbagh main road","283.2","0.283","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0075","Chanakya Hospital","Hospital / Healthcare","Kumhrar Road","264.7","0.265","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0076","Adarsh Life Care Hospital Pvt. Ltd","Hospital / Healthcare","NH Corridor (NH22)","188.7","0.189","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0077","Drishti Eye Care And Research Centre","Hospital / Healthcare","Kumhrar Road","269.5","0.27","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0078","Dr. Vimal Hospital and Research Center","Hospital / Healthcare","NH Corridor (NH922)","144.3","0.144","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0079","Swasti Womens Hospital And Research Centre","Hospital / Healthcare","Kumhrar Road","902.8","0.903","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0080","Shivam Hospital And Research Institute Pvt Ltd","Hospital / Healthcare","Kumhrar Road","785.7","0.786","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0081","New Kumar Nursing Home","Hospital / Healthcare","NH Corridor (NH22)","759.8","0.76","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0082","R.P. Golwara Memorial Hospital","Hospital / Healthcare","Ashok Raj Path","21.4","0.021","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0083","Child Care Center","Hospital / Healthcare","Kumhrar Road","957.4","0.957","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0084","Shanti Navjeevan Hospital Pvt. Ltd.","Hospital / Healthcare","NH Corridor (NH22)","244.1","0.244","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0085","CHANDRA ORTHOPAEDIC CLINIC","Hospital / Healthcare","Kumhrar Road","389.2","0.389","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0086","Bilas Netralaya","Hospital / Healthcare","NH Corridor (NH139)","496.7","0.497","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0087","K.B. Hospital and Research Institute - Patna","Hospital / Healthcare","NH Corridor (NH139)","11.3","0.011","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0088","Uma Foundation","Hospital / Healthcare","Kumhrar Road","724.2","0.724","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0089","Shanti Maternity Centre","Hospital / Healthcare","Kumhrar Road","423.5","0.423","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0090","Anupama Hospital Pvt. Ltd.","Hospital / Healthcare","Ashok Raj Path","65.3","0.065","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0091","Vaishnavi Hospital, Patna","Hospital / Healthcare","Chapra - Patna Highway","360.3","0.36","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0092","The Apollo Clinic, Patna","Hospital / Healthcare","NH Corridor (NH139)","22","0.022","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0093","Brindavan Nursing Home","Hospital / Healthcare","Fraser Road","323.2","0.323","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0094","Divya Drishti Eye Centre","Hospital / Healthcare","Bailey Road Flyover","44","0.044","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0095","Polo Hospital, Patna","Hospital / Healthcare","Ashok Raj Path","16.3","0.016","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0096","Sheila Urology & Laproscopy Centre","Hospital / Healthcare","Bailey Road","543.5","0.543","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0097","P.K.Nursing Home Awam Maternity Centre","Hospital / Healthcare","Flyover","147.9","0.148","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0098","Shri Harijeevan Health Care","Hospital / Healthcare","Ashok Raj Path","16.2","0.016","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0099","Siddiqui Nursing Home and M.R.C. Pvt. Ltd.","Hospital / Healthcare","Ashok Raj Path","113","0.113","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0100","S.S.Hospital and Research Centre Pvt.Ltd.","Hospital / Healthcare","NH Corridor (NH22)","705.2","0.705","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0101","Shyamal Hospital","Hospital / Healthcare","Bailey Road Flyover","781.3","0.781","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0102","Sri Ram Hospital","Hospital / Healthcare","kankarbagh main road","325.3","0.325","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0103","Pandey Nursing Home & Research Centre Patna","Hospital / Healthcare","kankarbagh main road","284.7","0.285","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0104","Dubey Urology Clinic and Stone Centre","Hospital / Healthcare","kankarbagh main road","85.6","0.086","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0105","Budha Hospital","Hospital / Healthcare","NH Corridor (NH22)","642","0.642","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0106","Jeevak Heart Hospital and Research Institute Pvt Ltd","Hospital / Healthcare","Kumhrar Road","143.1","0.143","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0107","Arvind Hospital","Hospital / Healthcare","Ashok Raj Path","42.6","0.043","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0108","Vijai Hospital","Hospital / Healthcare","Kumhrar Road","747.4","0.747","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0109","Aarogya Orthopaedic and Trauma Clinic","Hospital / Healthcare","Ashok Raj Path","811.3","0.811","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0110","Anshuman Nursing Home and Maternity Centre","Hospital / Healthcare","NH Corridor (NH139)","304.7","0.305","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0111","Getwell Hospital, Patna","Hospital / Healthcare","Bailey Road Flyover","50","0.05","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0112","Bhavani Clinic","Hospital / Healthcare","Ashok Raj Path","449.8","0.45","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0113","CGHS Dispensary, Budha Marg","Hospital / Healthcare","Bailey Road","313.1","0.313","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0114","Shekhar Shalya Chikitsalaya","Hospital / Healthcare","NH Corridor (NH22)","283.5","0.284","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0115","J.H.Nursing Home","Hospital / Healthcare","kankarbagh main road","142.8","0.143","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0116","M.G.M Hospital And Research Centre Pvt Ltd","Hospital / Healthcare","NH Corridor (NH139)","518.7","0.519","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0117","Paras HMRI Hospital","Hospital / Healthcare","Bailey Road Flyover","46.4","0.046","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0118","Punam Surgical and Maternity Clinic","Hospital / Healthcare","Bailey Road Flyover","235.9","0.236","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0119","Magadh Nursing Home","Hospital / Healthcare","NH Corridor (NH139)","199.2","0.199","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0120","Divya Jyoti Nursing Home","Hospital / Healthcare","Bailey Road Flyover","123.1","0.123","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0121","Ashoka Hospital( Aunit Of Ashoka Multispeciality Hospital Pvt Limited)","Hospital / Healthcare","Kumhrar Road","635.4","0.635","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0122","Atlantis Hospital","Hospital / Healthcare","Patna Bypass / Expressway Corridor","64.5","0.065","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0123","Aarogya Hospital, Patna","Hospital / Healthcare","Ashok Raj Path","780.5","0.78","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0124","Appolo Burn Hospital","Hospital / Healthcare","Kumhrar Road","25.4","0.025","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0125","Magadh Hospital","Hospital / Healthcare","NH Corridor (NH139)","756.4","0.756","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0126","Sparsh Haritage Hospital","Hospital / Healthcare","Major City Arterial","9.2","0.009","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0127","Suman Nursing Home, Patna","Hospital / Healthcare","Kumhrar Road","224.4","0.224","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0128","Shahi Hospital (A Unit Of Abhishek Memorial Trust)","Hospital / Healthcare","NH Corridor (NH139)","742.9","0.743","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0129","Sri Vinayak Hospital, Patna","Hospital / Healthcare","NH Corridor (NH22)","68.1","0.068","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0130","Buddha Eye Care and Laser Centre","Hospital / Healthcare","kankarbagh main road","338.9","0.339","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0131","Shri Sai Hospital (A Unit Of Akhilesh Kumar Singh Hospital (P)Ltd)","Hospital / Healthcare","kankarbagh main road","409.8","0.41","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0132","Akriti Nursing Home","Hospital / Healthcare","kankarbagh main road","691.2","0.691","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0133","Keshav Hospital Pvt Ltd","Hospital / Healthcare","NH Corridor (NH922)","46.2","0.046","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0134","Maa Dulari Memorial Hospital","Hospital / Healthcare","NH Corridor (NH22)","314.7","0.315","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0135","Imdad Medicare Research Institute","Hospital / Healthcare","Ashok Raj Path","701","0.701","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0136","Buddha Nursing Home","Hospital / Healthcare","Ashok Raj Path","175.5","0.176","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0137","Anup Memorial Orthopaedic Centre","Hospital / Healthcare","kankarbagh main road","187","0.187","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0138","Siddharth Multispeciality Hospital","Hospital / Healthcare","Kumhrar Road","525.2","0.525","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0139","Ambey Nursing Home","Hospital / Healthcare","Kankarbagh Main Road","189.7","0.19","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0140","Akshat Seva Sadan","Hospital / Healthcare","NH Corridor (NH139)","131.6","0.132","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0141","Advanced Eye Care","Hospital / Healthcare","Patna Bypass / Expressway Corridor","310.9","0.311","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0142","Mithila Hospital","Hospital / Healthcare","NH Corridor (NH22)","69.2","0.069","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0143","Ram Ratan Hospital","Hospital / Healthcare","Kumhrar Road","845.4","0.845","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0144","Abhinandan Hospital","Hospital / Healthcare","Kumhrar Road","590.6","0.591","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0145","Bharat Petroleum","Fuel / Petrol Pump","NH Corridor (NH139)","41.7","0.042","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0146","CGHS, Chajjubagh","Hospital / Healthcare","Fraser Road","166.6","0.167","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0147","Dr. Usha Didwania Nursing Home","Hospital / Healthcare","Kumhrar Road","796.3","0.796","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0148","Chandra Shambhu Narayan Eye Hospital Pvt. Ltd.","Hospital / Healthcare","Chiriya Taar overbridge","24.5","0.025","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0149","Shrinivas Hospital - Patna","Hospital / Healthcare","NH Corridor (NH139)","262.9","0.263","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0150","Sarvamangla Clinic","Hospital / Healthcare","Kumhrar Road","802.6","0.803","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0151","Satyam Hospital, Gaya","Hospital / Healthcare","Bailey Road Flyover","134.5","0.134","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0152","Anami Orthopaedics","Hospital / Healthcare","NH Corridor (NH139)","17.4","0.017","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0153","Shekhar Hospital","Hospital / Healthcare","Bailey Road Flyover","16.6","0.017","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0154","Shyam Nursing Home, Patna","Hospital / Healthcare","Fraser Road","304.7","0.305","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0155","Krishna Health Care","Hospital / Healthcare","Bailey Road Flyover","46.2","0.046","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0156","Aargyam Multi Speciality Clinical Care","Hospital / Healthcare","Major City Arterial","521.5","0.521","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0157","Guljarbagh Dispensary","Hospital / Healthcare","Ashok Raj Path","71","0.071","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0158","Kankarbagh Dispensary","Hospital / Healthcare","kankarbagh main road","73.1","0.073","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0159","Goverment hospital,Khagual","Hospital / Healthcare","Major City Arterial","314","0.314","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0160","SDH Danapur","Hospital / Healthcare","Major City Arterial","299","0.299","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0161","Udayan Hospital","Hospital / Healthcare","Ashok Rajpath","321.7","0.322","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0162","River View Service Station","Fuel / Petrol Pump","Ashok Rajpath","11.7","0.012","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0163","BP Patna","Fuel / Petrol Pump","Bailey Road","12.7","0.013","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0164","Wali Clinic - Neurotherapy Treatment","Hospital / Healthcare","NH Corridor (NH922)","74","0.074","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0165","Shivam Clinic","Hospital / Healthcare","NH Corridor (NH922)","218.9","0.219","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0166","Nestiva Jay Arogyam Hospital","Hospital / Healthcare","NH Corridor (NH139)","174","0.174","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0167","Dr. Usha Kiran Clinic","Hospital / Healthcare","NH Corridor (NH922)","176.4","0.176","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0168","Amrutanjan Health Care Limited","Hospital / Healthcare","Bailey Road","548.7","0.549","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0169","Dr. S C Jha - Chest Clinic","Hospital / Healthcare","Bailey Road","32.8","0.033","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0170","Soni Physiotherapy and Health Clinic","Hospital / Healthcare","Patna Bypass / Expressway Corridor","205.3","0.205","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0171","N.S. Emergency Hospital","Hospital / Healthcare","NH Corridor (NH139)","47.6","0.048","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0172","Nirgo Poly Clinic","Hospital / Healthcare","NH Corridor (NH22)","10.4","0.01","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0173","Bone Hospital","Hospital / Healthcare","NH Corridor (NH22)","399.5","0.399","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0174","Spandan Cardio and Diabetic Clinic","Hospital / Healthcare","Patna Bypass / Expressway Corridor","111.2","0.111","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0175","Panchlok Diagnostic Centre","Hospital / Healthcare","Bailey Road","20.2","0.02","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0176","Child Hospital","Hospital / Healthcare","Bailey Road","16","0.016","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0177","Baby & Child Hospital","Hospital / Healthcare","NH Corridor (NH139)","379.9","0.38","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0178","Shiv Shakti Hospital","Hospital / Healthcare","Ashok Rajpath","443.1","0.443","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0179","Neurology Clinic","Hospital / Healthcare","Atal Path Flyover","66.2","0.066","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0180","Guru Kripa Paali Clinic","Hospital / Healthcare","NH Corridor (NH22)","312","0.312","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0181","Patna Heart Hospital","Hospital / Healthcare","Ashok Rajpath","596.3","0.596","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0182","Dr. V.K. Sinha Clinic","Hospital / Healthcare","Ashok Rajpath","528.2","0.528","500m - 1000m (Intermediate Access)","No"
"PAT-FAC-0183","Dr. Sachidanand Sinha Ent","Hospital / Healthcare","Ashok Rajpath","432.6","0.433","Within 500m (High Direct Access)","Yes"
"PAT-FAC-0184","Yash Ortho and General Health Care Clinic","Hospital / Healthcare","Major City Arterial","1178.9","1.179","1000m - 2000m (Secondary Access)","No"
