"Road_ID","Road_Name","Category","Highway_Type","Ref_Code","Length_km","Lanes","Speed_Limit_kmph","Carriageway","Pavement_Condition"
"PAT-RD-0037","Primary Arterial (SH1)","Primary Arterial Road","primary","SH1","0.057","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0038","Station Road","Secondary / Connector Road","secondary","N/A","0.39","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0039","Flyover","National Highway / Expressway","trunk","NH139","0.213","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0040","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.278","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0041","RK AVE","Secondary / Connector Road","secondary","N/A","0.166","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0042","90 Feet Road","Secondary / Connector Road","secondary","N/A","0.532","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0043","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.337","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0044","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.946","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0045","Secondary Road (MDR)","Secondary / Connector Road","secondary","MDR","3.876","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0046","Chitkohara Flyover","Primary Arterial Road","primary","N/A","0.077","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0047","Patliputra marg","Secondary / Connector Road","secondary","N/A","0.602","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0048","Ashok Raj Path","Primary Arterial Road","primary","N/A","0.515","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0049","East Boring Canal Road","Secondary / Connector Road","secondary","N/A","1.575","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0050","Serpentine Road","Secondary / Connector Road","secondary","N/A","0.616","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0051","Station Road Flyover","National Highway / Expressway","trunk","NH922","0.276","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0052","Chiriya Taar overbridge","Secondary / Connector Road","secondary","N/A","0.885","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0053","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.178","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0054","Station Road","Secondary / Connector Road","secondary","N/A","0.345","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0055","Station Road Flyover","Primary Arterial Road","primary","N/A","0.098","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0056","Buddha Marg","Secondary / Connector Road","secondary","N/A","0.547","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0057","Bailey Road","National Highway / Expressway","trunk","NH922","0.184","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0058","Bailey Road","National Highway / Expressway","trunk","NH922","0.343","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0059","Birchand Patel Path (Gardner Road)","National Highway / Expressway","trunk","NH922","0.753","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0060","Birchand Patel Path (Gardner Road)","Primary Arterial Road","primary","N/A","0.742","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0061","Nala Road","Secondary / Connector Road","secondary","N/A","0.572","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0062","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.843","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0063","South Gandhi Maidan Marg","Secondary / Connector Road","secondary","N/A","0.649","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0064","Fraser Road","Primary Arterial Road","primary","N/A","0.305","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0065","West Gandhi Maidan Marg","Primary Arterial Road","primary","N/A","0.224","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0066","Major City Arterial","Primary Arterial Road","primary","N/A","0.139","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0067","West Boring Canal Road","Secondary / Connector Road","secondary","N/A","1.554","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0068","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.198","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0069","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.438","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0070","Major City Arterial","Primary Arterial Road","primary","N/A","0.118","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0071","Jaiprakash Roundabout","Primary Arterial Road","primary","N/A","0.19","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0072","Major City Arterial","Primary Arterial Road","primary","N/A","0.036","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0073","Major City Arterial","Primary Arterial Road","primary","N/A","0.331","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0074","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.045","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0075","Major City Arterial","Primary Arterial Road","primary","N/A","0.366","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0076","Major City Arterial","Primary Arterial Road","primary","N/A","0.079","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0077","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.06","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0078","Fraser Road","Primary Arterial Road","primary","N/A","0.058","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0079","Fraser Road","Primary Arterial Road","primary","N/A","0.034","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0080","Fraser Road","Primary Arterial Road","primary","N/A","0.522","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0081","Chiriya Taar overbridge","National Highway / Expressway","trunk","NH139","0.721","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0082","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.649","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0083","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.644","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0084","Secondary Road (NH922)","Secondary / Connector Road","secondary","NH922","0.396","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0085","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.05","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0086","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.178","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0087","Ashok Raj Path","Primary Arterial Road","primary","N/A","2.951","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0088","Major City Arterial","Primary Arterial Road","primary","N/A","0.025","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0089","Chiriya Taar overbridge","National Highway / Expressway","trunk","NH139","0.202","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0090","Station Road Flyover","Primary Arterial Road","primary","N/A","0.174","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0091","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.137","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0092","Dhanush Setu Flyover","Secondary / Connector Road","secondary","N/A","0.236","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0093","Dhanush Setu","Secondary / Connector Road","secondary","N/A","0.128","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0094","Major City Arterial","Primary Arterial Road","primary","N/A","1.119","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0095","Rajbanshi Nagar Road","National Highway / Expressway","trunk_link","N/A","0.088","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0096","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.417","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0097","Major City Arterial","Primary Arterial Road","primary","N/A","0.326","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0098","NH Corridor (NH31)","National Highway / Expressway","trunk","NH31","5.989","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0099","Chapra - Patna Highway","National Highway / Expressway","trunk","NH22;NH31","1.63","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0100","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","1.933","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0101","Urban Connector Road","Secondary / Connector Road","secondary","N/A","2.025","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0102","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.618","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0103","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","1.823","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0104","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.379","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0105","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.161","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0106","Saidpur Marg","Secondary / Connector Road","secondary","N/A","0.33","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0107","Dhanush Setu flyover","Secondary / Connector Road","secondary","N/A","0.264","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0108","Saidpur road","Secondary / Connector Road","secondary","N/A","0.515","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0109","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.114","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0110","Malahi Pakdi Road","Secondary / Connector Road","secondary","N/A","0.514","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0111","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.772","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0112","Flyover","National Highway / Expressway","trunk_link","N/A","0.512","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0113","Chitkohara Flyover","Primary Arterial Road","primary","N/A","0.383","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0114","Major City Arterial","Primary Arterial Road","primary","N/A","1.654","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0115","NH Corridor (NH22)","National Highway / Expressway","trunk","NH22","4.974","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0116","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.652","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0117","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.196","4","60","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0118","Patna Bypass / Expressway Corridor","National Highway / Expressway","trunk","N/A","2.041","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0119","Major City Arterial","Primary Arterial Road","primary","N/A","0.05","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0120","East Gandhi Maidan Marg","Secondary / Connector Road","secondary","N/A","0.259","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0121","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.023","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0122","Neora Road","Primary Arterial Road","primary","N/A","0.732","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0123","Dhanush Setu Flyover","Secondary / Connector Road","secondary","N/A","0.112","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0124","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.058","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0125","Bhattacharya Road","National Highway / Expressway","trunk","NH922","0.264","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0126","Buddha Marg Flyover","Secondary / Connector Road","secondary","N/A","0.235","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0127","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.805","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0128","Chiriya Taar overbridge","National Highway / Expressway","trunk","NH139","0.538","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0129","Chiriya Taar overbridge","Primary Arterial Road","primary","NH922","0.248","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0130","Chiriya Taar overbridge","National Highway / Expressway","trunk","NH139","0.085","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0131","Dhanush Setu Flyover","Secondary / Connector Road","secondary","N/A","0.051","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0132","Kumhrar Road","National Highway / Expressway","trunk","NH139","1.639","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0133","Dhanush Setu Flyover","Secondary / Connector Road","secondary","N/A","0.123","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0134","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.025","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0135","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.025","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0136","Station Road","Secondary / Connector Road","secondary","N/A","0.211","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0137","Station Road","Secondary / Connector Road","secondary","N/A","0.419","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0138","Station Road Flyover","National Highway / Expressway","trunk","NH922","0.021","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0139","Station Road","Secondary / Connector Road","secondary_link","N/A","0.029","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0140","Station Road","Secondary / Connector Road","secondary","N/A","0.176","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0141","Telephone Exchange Marg","Secondary / Connector Road","secondary","N/A","0.615","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0142","Major City Arterial","Primary Arterial Road","primary","N/A","1.547","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0143","Major City Arterial","Primary Arterial Road","primary","N/A","0.657","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0144","Major City Arterial","Primary Arterial Road","primary","N/A","0.428","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0145","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.318","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0146","Major City Arterial","Primary Arterial Road","primary","N/A","0.064","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0147","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.41","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0148","Flyover","National Highway / Expressway","trunk","NH139","0.175","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0149","Chiriya Taar overbridge","National Highway / Expressway","trunk","NH139","0.115","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0150","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.342","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0151","Fraser Road (Mazrul Haque Path)","Secondary / Connector Road","secondary","N/A","0.193","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0152","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.083","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0153","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","3.383","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0154","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.728","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0155","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.461","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0156","R Block Road Flyover","Primary Arterial Road","primary","N/A","0.279","4","60","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0157","Chitkohra Golumbar","National Highway / Expressway","trunk","NH139","0.083","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0158","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","2.131","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0159","Flyover","National Highway / Expressway","trunk","NH139","0.232","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0160","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.08","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0161","Major City Arterial","Primary Arterial Road","primary","N/A","0.057","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0162","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.725","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0163","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.19","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0164","Station Road Flyover","Primary Arterial Road","primary","N/A","0.725","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0165","Station Road Flyover","Primary Arterial Road","primary","N/A","0.78","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0166","Station Road","Secondary / Connector Road","secondary","N/A","0.394","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0167","Flyover","National Highway / Expressway","trunk_link","N/A","0.655","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0168","Bailey Road","National Highway / Expressway","trunk","NH922","0.288","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0169","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.696","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0170","Chitkohara Flyover","Primary Arterial Road","primary","N/A","0.097","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0171","Major City Arterial","Primary Arterial Road","primary","N/A","0.043","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0172","Major City Arterial","Primary Arterial Road","primary","N/A","0.059","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0173","Major City Arterial","Primary Arterial Road","primary","N/A","0.066","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0174","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.554","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0175","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.044","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0176","Rajendra Nagar Flyover","Secondary / Connector Road","secondary","N/A","0.056","2","40","Undivided 2-Lane","Fair (PCI 70-84)"
"PAT-RD-0177","Sudarshan Path","Secondary / Connector Road","secondary","N/A","2.883","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0178","Major City Arterial","Primary Arterial Road","primary","N/A","0.205","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0179","Flyover","Primary Arterial Road","primary","N/A","0.613","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0180","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.194","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0181","Ashok Raj Path","Primary Arterial Road","primary","N/A","6.376","4","60","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0182","Urban Connector Road","Secondary / Connector Road","secondary","N/A","1.087","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0183","Chowk Shikarpur Flyover","Secondary / Connector Road","secondary","N/A","0.7","2","40","Undivided 2-Lane","Good (PCI 85-100)"
"PAT-RD-0184","Kumhrar Road","National Highway / Expressway","trunk","NH139","0.337","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0185","Urban Connector Road","Secondary / Connector Road","secondary","N/A","0.097","2","40","Undivided 2-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0186","NH Corridor (NH139)","National Highway / Expressway","trunk","NH139","0.331","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0187","Kumhrar Road","National Highway / Expressway","trunk","NH139","1.319","4","80","Divided Multi-Lane","Satisfactory (PCI 55-69)"
"PAT-RD-0188","NH Corridor (NH31)","National Highway / Expressway","trunk","NH31","0.023","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0189","Flyover","National Highway / Expressway","trunk","N/A","0.082","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0190","Flyover","National Highway / Expressway","trunk","N/A","0.027","4","80","Divided Multi-Lane","Good (PCI 85-100)"
"PAT-RD-0191","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.095","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
"PAT-RD-0192","NH Corridor (NH922)","National Highway / Expressway","trunk","NH922","0.045","4","80","Divided Multi-Lane","Fair (PCI 70-84)"
